komentar_preprocessing,label,Nomor
sweetest thing romantic comedy outrageous tendency may mess lot way one saving grace lot gag observation reflect woman point view,positive,2178
even harris strong effort script give little effectively probe lear soul stripping breakdown,negative,2179
subtle variation spit grave purported heroine pathologically avenges hatred men,negative,2180
refreshing see movie embrace old fashioned theme process come looking like something wholly original,positive,2181
brilliant surfing photography bringing right inside massive wave lift blue crush one summer pleasurable movie,positive,2182
honestly address flaw inherent medical aid made available american worker balanced fair portrayal side needed,positive,2183
one pleasure walter documentary parade veteran painter confounded dealer miscellaneous bohos expound upon subject mysterious personality without ever explaining,positive,2184
first minute worth seeing movie sink abyss clich depression bad alternative music,negative,2185
search something different wendigo genuinely bone chilling tale,positive,2186
negligible british comedy,negative,2187
aunque recurre ciertos clich del g nero la poderosa actuaci n de robin williams perdona la falla del gui n,positive,2188
get distinct impression franchise drawing close,positive,2189
vitality actor keep intensity film high even strafings blend together,positive,2190
like precious finely cut diamond magnificent behold sparkling beauty yet reality one tough rock,positive,2191
one jaglom better effort wry sometime bitter movie love,positive,2192
clear trying say even doubt would interesting,negative,2193
painting unabashedly romantic picture nation whose song spring directly life people movie exalts marxian dream honest working folk little show labor living harmoniously joined song,positive,2194
film really much bad bland,negative,2195
movie thesis elegant technology mass surprisingly refreshing,positive,2196
quite tasteful look attention process tends little fleeing,negative,2197
ingenuity parker display freshening play almost class wilde,positive,2198
blade ii brilliant director charismatic star suffers rampant vampire devaluation,negative,2199
feel like school special gussied fancy special effect watching rote plot point connect exciting gazing egg timer minute,negative,2200
although always hang together violence whimsy combine easily cherish certainly dull,positive,2201
great american adventure wonderful film bring imax,positive,2202
jae eun jeong take care cat brings beguiling freshness coming age story buoyant expressive flow image emerges another key contribution flowering south korean cinema,positive,2203
come uncomfortably close coasting tread bicycle thief,negative,2204
ragged cheap unassuming way movie work,positive,2205
even agnostic carnivore enjoy much jonah simply gratefully laugh loud lunacy pronounced monty pythonesque flavor,positive,2206
almost offensive freddy got fingered,negative,2207
rare documentary incorporates much human experience drama conflict tear surprise transcends normal division fiction nonfiction film,positive,2208
stunning visuals staggeringly boring cinema,negative,2209
elegantly balanced movie every member ensemble something fascinating reveal even hint artifice,positive,2210
amari dressed little parable fairly irresistible package full privileged moment memorable performance,positive,2211
maudlin way story unfolds suggests director fighting urge sensationalize material,negative,2212
could used two hour better watching john malkovich,negative,2213
result solemn horrifying yet strangely detached,negative,2214
script vincent r nebrida try cram many ingredient one small pot,negative,2215
tale tok andy lau sleek sociopath trail takashi sorimachi legendary asian hitman scattershot take hold,negative,2216
picture maik firebrand turned savvy ad man would envious hijack heat revolution turn sale tool,negative,2217
